OrderID,CustomerID,OrderDate,Area,ActualTime,Sentiment,Sentiment_Score,Review,Total_Amount,Delivery_Status,Prep_Time,Transit_Time
ORD100000,CUST408,2025-11-22,Phase 3 DLF,20,Positive,0.5,"Excellent service, the delivery was incredibly fast and items were fresh.",1411.36,Cancelled,3,17
ORD100001,CUST1840,2025-11-28,SohnaRoad,19,Positive,0.8,"Amazing experience, everything was perfectly packed and delivered on time.",671.96,Returned,10,9
ORD100002,CUST187,2025-10-18,DLF Phase 3,23,Positive,0.175,Average experience. Delivery was on time but packaging could be better.,1688.97,Returned,7,16
ORD100003,CUST965,2025-12-27,DLF Phase 3,14,Positive,0.5,"Excellent service, the delivery was incredibly fast and items were fresh.",1429.63,Delivered,5,9
ORD100004,CUST1596,2025-10-29,Sohna Road,16,Positive,0.178571429,"Standard experience, nothing special but got what I ordered.",1891.58,Refunded,7,9
ORD100005,CUST77,2025-12-03,DLF-3,24 mins,Positive,0.6,Very impressed with the packaging and the delivery partner was very polite.,162.88,Refunded,4,20
ORD100006,CUST72,2025-11-01,Sec-45,28,Positive,0.475,"The app is good but the delivery took exactly 15 minutes, not 10.",423.42,Delivered,3,13
ORD100007,CUST1975,2025-12-05,DLF Phase3,13,Positive,0.425,Items were fine but the delivery partner couldn't find my location easily.,1322.8,Refunded,3,10
ORD100008,CUST264,2025-12-04,Sohna Rd.,21,Positive,0.425,Items were fine but the delivery partner couldn't find my location easily.,632.76,Cancelled,9,7
ORD100009,CUST1250,2025-12-13,G.C. Road,28,Positive,0.178571429,"Standard experience, nothing special but got what I ordered.",1114.78,Refunded,8,8
ORD100010,CUST1571,2025-11-16,Cyber Hub GGN,15,Positive,0.3,Good quality products and very reliable service for daily needs.,,Cancelled,7,8
ORD100011,CUST36,2025-11-25,S. 45,13,Positive,0.6,Very impressed with the packaging and the delivery partner was very polite.,2480.29,Delivered,2,11
ORD100012,CUST1716,2025-10-26,Sector 45,18,Positive,0.6,Very impressed with the packaging and the delivery partner was very polite.,1431.21,Delivered,3,15
ORD100013,,2025-12-01,Cyber Hub,14,Positive,0.255555556,"Decent service, but some items were near expiry. Okay for emergency.",2375.6,Returned,5,9
ORD100014,CUST670,2026-01-01,Sohna Road,22,Positive,0.6,Very impressed with the packaging and the delivery partner was very polite.,971.47,Cancelled,3,10
ORD100015,CUST487,2025-12-23,Cyb Hub,14,Neutral,-0.1,Missing items in my order and the support team is not responding properly.,1251.12,Refunded,6,8
ORD100016,CUST923,2025-12-10,Cyberhub,19,Positive,0.3,Good quality products and very reliable service for daily needs.,1255.69,Refunded,7,12
ORD100017,CUST1681,2025-10-17,Golf Course Rd,21,Positive,0.6,Very impressed with the packaging and the delivery partner was very polite.,702.88,Cancelled,3,9
ORD100018,CUST141,2026-01-06,G.C. Road,25,Positive,0.3,Good quality products and very reliable service for daily needs.,2122.87,Cancelled,7,18
ORD100019,CUST357,2025-12-24,Sector 45,19,Positive,0.461111111,"Super fast delivery! Got my groceries in 8 minutes, great job Team.",1557.49,Cancelled,8,11
ORD100020,CUST604,2025-11-08,Sohna Road,11,Positive,0.475,"The app is good but the delivery took exactly 15 minutes, not 10.",,Delivered,3,8
ORD100021,CUST778,2025-12-31,Cyber Hub GGN,17,Positive,0.475,"The app is good but the delivery took exactly 15 minutes, not 10.",397.25,Refunded,5,12
ORD100022,CUST419,2026-01-09,Phase 3 DLF,19,Positive,0.8,"Amazing experience, everything was perfectly packed and delivered on time.",2247.41,Delivered,3,16
ORD100023,CUST1920,2025-11-11,Sector 45,19,Negative,-0.225,Late delivery again. Sector 45 dark store always has issues with speed.,706.37,Returned,3,16
ORD100024,CUST276,2025-11-02,Golf Course Rd,17,Positive,0.5,"Excellent service, the delivery was incredibly fast and items were fresh.",1942.59,Refunded,3,9
ORD100025,CUST1704,2025-10-31,S. 45,15,Positive,0.6,Very impressed with the packaging and the delivery partner was very polite.,809.11,Delivered,9,6
ORD100026,CUST1946,2025-11-11,DLF Phase 3,9,Positive,0.8,"Amazing experience, everything was perfectly packed and delivered on time.",2206.79,Refunded,4,5
